Value,Ref,X,Y,Rotation,Side
27p,C1,-5.178445,1.218898,0,Top
27p,C2,-5.506201,1.284252,180,Top
100n,C3,-5.230146,2.209843,90,Top
100n,C4,-5.170146,2.209843,90,Top
1u,C5,-5.191339,2.054331,135,Top
100n,C6,-5.566142,1.707874,180,Top
100n,C7,-5.37748,1.91124,180,Top
100n,C8,-4.24252,2.039744,0,Top
100n,C9,-4.767874,1.609508,-45,Top
100n,C10,-4.805512,1.970846,0,Top
100n,C11,-5.134646,1.424291,-90,Top
1u,C12,-4.948425,2.016929,90,Top
10u,C13,-4.550689,2.283071,180,Top
10u,C14,-4.556299,2.164862,90,Top
100n,C15,-5.396949,2.208661,0,Top
D_Schottky,D1,-4.504331,2.453543,90,Top
WS2812B,D2,-4.558268,1.90748,-90,Top
D_TVS_Dual_AAC,D3,-4.93748,2.26815,-90,Top
LED,D4,-4.033858,2.311398,-90,Top
LED,D5,-4.033858,2.474783,90,Top
Fuse,F1,-5.468406,2.365354,0,Top
USB_C_Receptacle_USB2.0,J1,-4.595866,2.816319,180,Top
SM04B-SRSS-TB_LF__SN_,J2,-5.317323,0.215157,0,Top
header,J3,-4.074409,1.07872,180,Top
Conn_01x08_Socket,J4,-4.072244,0.21811,180,Top
header,J5,-5.984646,0.229134,180,Top
Conn_01x08_Socket,J6,-5.976772,1.627146,0,Top
header,J7,-4.659843,0.761398,0,Top
header,J8,-5.054724,0.111024,90,Top
Barrel_Jack_Switch,J9,-5.787874,2.363287,-90,Top
header,J10,-4.375591,1.902953,180,Top
BSS138,Q3,-4.258268,0.430709,0,Top
BSS138,Q4,-4.259154,0.562598,0,Top
BSS138,Q5,-4.25748,0.698819,0,Top
BSS138,Q6,-4.256693,0.836614,0,Top
220E ,R1,-4.033465,2.61811,-90,Top
5.1K,R2,-4.784646,2.438976,-135,Top
5.1K,R3,-4.920079,2.540945,-135,Top
27R,R4,-5.016142,2.021161,-90,Top
27R,R5,-5.075591,2.022343,-90,Top
1k,R6,-6.03189,2.214961,-90,Top
10K,R7,-6.038976,2.070472,90,Top
220E ,R8,-4.038583,2.17126,-90,Top
10K,R11,-4.366929,0.436909,90,Top
10K,R12,-4.363386,0.562205,90,Top
10K,R13,-4.364173,0.7,90,Top
10K,R14,-4.361024,0.83622,90,Top
2.2K,R15,-5.265748,0.325591,90,Top
1k,R16,-5.324016,1.303839,90,Top
2.2K,R17,-5.324803,0.329528,90,Top
10K,R20,-4.158661,0.429921,-90,Top
10K,R21,-4.159449,0.561024,-90,Top
10K,R22,-4.157874,0.698031,-90,Top
10K,R23,-4.16378,0.836614,-90,Top
5.1K,R33,-5.014961,1.427461,90,Top
4*4*1/5 SMD tact SW,SW1,-5.308268,0.633465,0,Top
4*4*1/5 SMD tact SW,SW2,-5.403937,2.567303,0,Top
RP2040,U1,-5.11748,1.75124,0,Top
AZ1117CH-3.3TRG1 SOT223-3,U2,-4.26811,2.22126,0,Top
W25Q128JVS,U3,-5.66748,2.13124,0,Top
AMS1117-5.0,U4,-4.270079,2.508661,0,Top
YSX321SL 12 Mhz,Y1,-5.353543,1.099213,0,Top
