Designators,Package,Qty,Value,ProductNr
JP1 JP2 JP4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,3,,
JP3,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,,
C1 C2,0603,2,27p,
C3 C4 C6 C7 C8 C9 C10 C11 C15,0603,9,100n,
C5 C12,0603,2,1u,
C13 C14,0603,2,10u,
R4 R5,0603,2,27R,
R1 R8,0603,2,220E ,
R6 R16,0603,2,1k,
R15 R17,0603,2,2.2k,
R2 R3 R33,0603,3,5.1k,
R7 R11 R12 R13 R14 R20 R21 R22 R23,0603,9,10k,
F1,1206,1,Fuse,
Y1,3225,1,YSX321SL 12 Mhz,
D1,SOD-128,1,D_Schottky,
D3,SOT-23,1,D_TVS_Dual_AAC,
D4 D5,0805,2,LED,
D2,PLCC4,1,WS2812B,
Q3 Q4 Q5 Q6,SOT-23,4,BSS138,
U4,SOT-223,1,AMS1117-5.0,
U2,SOT-223,1,AZ1117CH-3.3TRG1 SOT223-3,
U1,QFN-56,1,RP2040,
U3,SOIC-8,1,W25Q128JVS,
J9,Barrel Jack,1,Barrel_Jack_Switch,
J4 J6,conn,2,Conn_01x08_Socket,
J2,QWIIC,1,SM04B-SRSS-TB_LF__SN_,
J1,USB-C,1,USB_C_Receptacle_USB2.0,
J3 J5 J7 J8 J10,conn,5,header,
SW1 SW2,SW_SPST_TL3342,2,4*4*1/5 SMD tact SW,
