Value,Designators,Package
27p,C1,0603
27p,C2,0603
100n,C3,0603
100n,C4,0603
1u,C5,0603
100n,C6,0603
100n,C7,0603
100n,C8,0603
100n,C9,0603
100n,C10,0603
100n,C11,0603
1u,C12,0603
10u,C13,0603
10u,C14,0603
100n,C15,0603
D_Schottky,D1,SOD-128
WS2812B,D2,PLCC4
D_TVS_Dual_AAC,D3,SOT-23
LED,D4,0805
LED,D5,0805
Fuse,F1,1206
USB_C_Receptacle_USB2.0,J1,USB-C
SM04B-SRSS-TB_LF__SN_,J2,QWIIC
header,J3,conn
Conn_01x08_Socket,J4,conn
header,J5,conn
Conn_01x08_Socket,J6,conn
header,J7,conn
header,J8,conn
Barrel_Jack_Switch,J9,Barrel Jack
header,J10,conn
BSS138,Q3,SOT-23
BSS138,Q4,SOT-23
BSS138,Q5,SOT-23
BSS138,Q6,SOT-23
220E ,R1,0603
5.1K,R2,0603
5.1K,R3,0603
27R,R4,0603
27R,R5,0603
1k,R6,0603
10K,R7,0603
220E ,R8,0603
10K,R11,0603
10K,R12,0603
10K,R13,0603
10K,R14,0603
2.2K,R15,0603
1k,R16,0603
2.2K,R17,0603
10K,R20,0603
10K,R21,0603
10K,R22,0603
10K,R23,0603
5.1K,R33,0603
4*4*1/5 SMD tact SW,SW1,SW_SPST_TL3342
4*4*1/5 SMD tact SW,SW2,SW_SPST_TL3342
RP2040,U1,QFN-56
AZ1117CH-3.3TRG1 SOT223-3,U2,SOT-223
W25Q128JVS,U3,SOIC-8
AMS1117-5.0,U4,SOT-223
YSX321SL 12 Mhz,Y1,3225
